old_sat,new_sat,old_gpa,new_gpa,college_gpa
760,793,2,2.05,2.24
670,743,2.25,2.3,1.43
850,873,2.5,2.55,2.06
1050,1058,3.5,3.55,3.52
840,855,2.25,2.3,1.58
700,741,2.2,2.25,0.82
1290,1299,2.5,2.55,2.21
980,996,2,2.05,1.18
1150,1166,2.5,2.55,3.64
920,934,2.7,2.75,2.37
820,841,2.25,2.3,1.18
1230,1241,4,4,3.19
1030,1036,3,3.05,1.59
1180,1187,3.75,3.8,3.14
1070,1084,2.75,2.8,3.63
1150,1158,3,3.05,3.13
1200,1211,4,4,3.09
980,989,2.75,2.8,2.21
1190,1201,4,4,2.86
1010,1016,2.67,2.72,1.16
1150,1158,4,4,3.89
1330,1339,4,4,3.89
880,903,3,3.05,1.45
1060,1065,3,3.05,2.69
1000,1013,2.6,2.65,2.27
1030,1039,3.33,3.38,2.25
1190,1202,4,4,3.36
1180,1193,3,3.05,2.32
1100,1107,4,4,2.91
1230,1245,4,4,3.77
1120,1131,3.8,3.85,3.04
890,913,2.75,2.8,1.44
1020,1027,3.8,3.85,2.07
1150,1163,3.25,3.3,2.69
1000,1005,3.75,3.8,2.67
1050,1055,3.5,3.55,1.97
920,932,2.25,2.3,1.08
770,810,2,2.05,0.92
720,754,3.5,3.55,1.7
1140,1147,3.25,3.3,3
1100,1116,3.75,3.8,3.34
920,927,3.75,3.8,1.69
1300,1311,4,4,3.37
930,946,2.75,2.8,1.52
990,1002,3.75,3.8,2.73
1030,1040,3.25,3.3,1.91
1300,1314,3.7,3.75,2.98
740,776,3.1,3.15,2.33
850,866,3,3.05,1.79
980,992,3.75,3.8,3.48
1040,1045,3,3.05,1.63
1080,1092,3,3.05,2.33
1170,1184,3.75,3.8,3.35
1330,1339,4,4,3.43
890,911,2.3,2.35,1.71
1040,1054,3.75,3.8,3.19
930,945,2.5,2.55,1.69
1110,1122,4,4,3.08
650,727,3,3.05,1.43
1210,1219,3.25,3.3,2.79
920,928,3.5,3.55,1.7
950,962,4,4,3.23
820,842,3.5,3.55,2.12
1080,1094,4,4,3.67
1330,1345,4,4,3.94
970,985,3.5,3.55,1.4
940,950,3.4,3.45,1.9
790,829,3.6,3.65,1.56
1100,1107,4,4,1.85
1150,1159,3,3.05,3
880,902,3.4,3.45,2.37
880,903,3.75,3.8,2.31
1250,1259,4,4,3.77
910,919,3.8,3.85,2.35
1200,1209,4,4,3.79
1040,1052,3.75,3.8,2.54
1170,1179,3,3.05,2.19
890,912,3,3.05,2.36
930,939,2.2,2.25,2.05
870,894,3.25,3.3,2.19
1050,1061,3.25,3.3,1.8
1180,1189,2.8,2.85,3.23
1000,1008,3.3,3.35,0.48
1080,1088,2.1,2.15,2.02
1100,1109,3.4,3.45,2.44
940,950,2.4,2.45,1.77
1040,1046,3.7,3.75,3.2
1080,1091,2.7,2.75,2.15
1100,1111,3.5,3.55,2.6
1150,1158,3.6,3.65,3.38
1060,1065,2.5,2.55,0.55
1030,1037,4,4,3.76
950,966,3.25,3.3,3.06
960,967,3.1,3.15,1.7
1200,1211,2.1,2.15,2.62
1090,1100,2.8,2.85,1.65
1060,1067,3.5,3.55,1.89
810,825,3.1,3.15,0.77
1150,1165,2.9,2.95,3.24
1030,1037,2.8,2.85,2.93
1240,1250,4,4,3.57
1080,1090,2.8,2.85,2.72
1010,1020,3.3,3.35,2.4
980,994,2.5,2.55,2.03
1050,1061,2.7,2.75,2.21
1180,1193,2.3,2.35,2.15
980,995,2.6,2.65,1.75
940,948,2.75,2.8,2.04
900,915,2.75,2.8,1.15
980,989,2.5,2.55,1.79
1270,1286,3.8,3.85,3.63
940,954,2.7,2.75,2
1180,1195,3.25,3.3,3.13
1010,1016,2.3,2.35,2.67
770,811,3.2,3.25,2.24
840,856,2.9,2.95,3.04
910,926,2.8,2.85,3.27
860,883,3.4,3.45,3.28
1090,1096,2.5,2.55,2.56
1110,1123,3.8,3.85,2.85
1120,1127,3.3,3.35,3.38
1190,1199,3.2,3.25,2.84
1020,1034,3.3,3.35,3.22
1230,1238,2.6,2.65,2.24
920,927,3.1,3.15,2.08
930,945,3.1,3.15,2.67
870,893,3.2,3.25,2.13
1370,1380,3.8,3.85,3.55
1080,1094,3.3,3.35,1.5
1000,1008,2.8,2.85,2.54
1070,1075,3.5,3.55,1.19
980,995,2.2,2.25,2.08
810,827,2.75,2.8,0
930,940,3.25,3.3,1.69
890,910,3,3.05,2.26
1100,1111,3.7,3.75,3.13
930,944,2.9,2.95,1.73
810,834,2.7,2.75,2.58
1020,1028,2.8,2.85,2.09
1250,1258,3.7,3.75,3
1150,1157,3,3.05,2.04
1250,1263,3.5,3.55,2.94
870,889,4,4,2.31
1150,1163,3.75,3.8,2.63
1120,1134,3.5,3.55,2.79
980,991,2.9,2.95,1.9
970,979,3.5,3.55,3
1030,1038,2.8,2.85,1.83
1020,1031,2.8,2.85,2.33
1080,1088,3.2,3.25,3.24
1120,1127,3.2,3.25,2.7
980,992,2.7,2.75,1.5
930,943,3,3.05,3
1120,1134,2.4,2.45,2.34
1240,1248,4,4,3.44
1080,1087,3,3.05,1.88
1170,1182,2.1,2.15,2.86
740,781,2.75,2.8,2.56
810,828,2,2.05,1.49
1060,1069,2.8,2.85,2.5
990,998,2.9,2.95,1.83
1120,1130,2.5,2.55,2.38
770,806,3.1,3.15,1.82
890,914,2.8,2.85,2.12
1060,1066,3.1,3.15,2.59
1100,1110,3,3.05,2.59
900,908,3.1,3.15,2.02
930,938,3.7,3.75,2.93
930,943,2.9,2.95,2.24
1080,1086,2.5,2.55,2.19
1010,1016,3.4,3.45,1.95
1280,1289,4,4,3.54
1230,1245,3.75,3.8,2.86
1040,1049,3.8,3.85,2.17
950,959,3.4,3.45,2.3
1000,1011,3.5,3.55,2.48
880,898,3.5,3.55,3.02
1060,1071,3.5,3.55,3.14
1150,1162,2.7,2.75,2.22
870,893,2.9,2.95,3.27
770,802,2.5,2.55,2.47
1030,1040,2.8,2.85,2.85
1020,1033,4,4,3.77
910,920,2.7,2.75,2.91
1030,1044,3.5,3.55,2.61
1030,1044,4,4,3.78
1000,1010,2.9,2.95,1.19
1220,1232,3.2,3.25,2.37
1140,1150,3.7,3.75,3.69
1020,1034,2.7,2.75,1.73
970,978,2.7,2.75,2.48
1090,1101,3,3.05,2.35
1020,1031,3.5,3.55,1.95
1140,1151,3.2,3.25,3.46
1030,1041,2.8,2.85,2.27
980,991,2.5,2.55,2.14
1070,1084,2.5,2.55,3.34
940,950,3.3,3.35,2.42
1190,1200,3.3,3.35,3.22
1180,1194,2.4,2.45,1.3
1080,1088,3.2,3.25,1.79
860,875,3,3.05,2.8
900,907,2.6,2.65,2.8
1180,1192,2.4,2.45,0.8
920,934,3.5,3.55,2.45
1020,1031,3.7,3.75,2.33
820,844,2.7,2.75,1.76
830,850,3,3.05,2.88
1020,1034,3.1,3.15,2.52
1070,1075,3.2,3.25,1.54
900,909,3.7,3.75,2.66
1020,1030,3.9,3.95,3.16
1070,1077,3.8,3.85,1.94
940,949,3.1,3.15,2.91
1130,1142,2.9,2.95,2.37
1250,1265,4,4,3.67
1090,1102,4,4,4
990,1002,2.6,2.65,2.94
1030,1043,2.9,2.95,1.37
880,903,2.75,2.8,2.13
1030,1044,3.3,3.35,2.68
1020,1034,2.7,2.75,2.71
800,820,2.4,2.45,1.57
1090,1098,2.5,2.55,2.38
1260,1273,3.4,3.45,1.16
1170,1184,3.9,3.95,2.81
1050,1063,3.4,3.45,2.52
840,855,2.5,2.55,1.72
920,929,2.9,2.95,2.23
1120,1131,3,3.05,1.43
980,987,2.5,2.55,1.54
1150,1162,3.8,3.85,3.24
1080,1091,3.6,3.65,2.18
940,953,2.3,2.35,1.77
1100,1113,3.4,3.45,2.16
870,890,3.5,3.55,2.49
1150,1161,4,4,3.74
1030,1043,2.8,2.85,3.29
790,827,2.9,2.95,1.37
1120,1129,4,4,3.83
1300,1309,3.7,3.75,2.9
1120,1132,2.8,2.85,2.2
1120,1128,2.7,2.75,2.11
840,855,2.5,2.55,3.15
990,1006,3.4,3.45,2.65
880,896,3,3.05,1.98
1130,1139,3.8,3.85,2.93
1040,1052,3.7,3.75,3.1
960,968,3.7,3.75,3.34
1110,1125,3.6,3.65,2.75
1020,1030,3.4,3.45,2.9
1150,1163,4,4,2.06
820,836,3.2,3.25,1.87
1030,1038,3.2,3.25,2.8
940,955,2.6,2.65,1.38
1120,1128,3.9,3.95,2.37
870,887,2.7,2.75,0.9
970,980,2.5,2.55,2.38
770,809,2.6,2.65,1.62
860,880,2.9,2.95,1.42
740,775,2.8,2.85,1.52
1060,1070,3.7,3.75,2.65
980,987,2.9,2.95,1.92
1070,1076,3.3,3.35,0.66
1110,1126,3.8,3.85,1.85
1040,1048,2.2,2.25,2.36
1010,1022,3.3,3.35,1.86
900,916,2.7,2.75,1.35
1040,1053,2.9,2.95,2.8
1090,1103,2.8,2.85,2.24
940,948,3.8,3.85,2.17
1140,1154,3.3,3.35,3.22
880,896,3.1,3.15,2.02
930,946,2.9,2.95,1.52
900,908,2.8,2.85,2.27
880,898,2.6,2.65,2.85
950,963,2.9,2.95,2.62
1010,1015,3.5,3.55,2.54
1090,1104,3.8,3.85,3.76
980,989,2.9,2.95,1.71
1000,1008,3.3,3.35,1.88
1010,1019,3.3,3.35,2.54
1070,1080,3.2,3.25,2.25
880,901,2.9,2.95,1.32
770,802,3.5,3.55,2.71
1160,1174,3.3,3.35,2.67
1120,1130,3.4,3.45,2
1020,1034,3.7,3.75,3.26
750,789,2.9,2.95,1.51
950,966,2.7,2.75,2.33
1130,1138,3.8,3.85,2.82
1010,1020,3.8,3.85,3.51
920,931,3.7,3.75,1
970,986,3.75,3.8,3.27
1030,1042,2.8,2.85,0.73
1040,1049,4,4,3.17
1010,1023,4,4,2.69
890,913,2.7,2.75,0.52
870,893,2.2,2.25,1.77
970,984,3.7,3.75,2.35
1100,1113,2.9,2.95,2.06
1100,1113,3.4,3.45,2.23
940,954,2.6,2.65,1.67
1290,1304,4,4,3.16
880,901,3.9,3.95,2.24
930,941,3.7,3.75,2.71
1160,1171,3.9,3.95,3.98
840,862,2.8,2.85,2.2
850,868,2.5,2.55,2.88
1110,1118,3.4,3.45,3
850,873,3.7,3.75,1.55
1030,1039,3.9,3.95,2
530,671,2.47,2.52,2.19
1210,1218,3.5,3.55,3.86
1000,1012,2.8,2.85,1.47
1210,1218,4,4,3.94
950,957,2.4,2.45,1.37
1030,1043,3.5,3.55,3.08
1180,1188,3.8,3.85,1.95
1210,1222,3.8,3.85,3.52
1030,1041,3.2,3.25,1.74
1030,1035,3.2,3.25,3.17
1170,1183,3.5,3.55,2.67
1040,1049,2.3,2.35,2.14
1050,1058,3,3.05,2.54
1040,1050,2.3,2.35,1.98
910,922,2.3,2.35,2.04
1060,1071,2.1,2.15,1.7
1150,1162,3.7,3.75,1.8
1440,1443,4,4,4
1000,1010,3.9,3.95,4
770,803,3,3.05,0.61
1060,1068,3.8,3.85,3.34
1040,1048,3.7,3.75,2.92
1150,1162,3.8,3.85,3.62
1330,1337,3.2,3.25,3.07
980,995,3.4,3.45,3
1040,1050,3.2,3.25,2.43
830,852,3.4,3.45,3.11
1000,1009,3.1,3.15,1.5
1030,1040,3.7,3.75,2.58
930,945,3.33,3.38,2.24
950,963,2.1,2.15,1.96
1010,1021,2.5,2.55,2.23
1040,1048,2.8,2.85,2.24
1000,1005,2.9,2.95,2.76
1010,1015,3.1,3.15,2.59
930,944,2.1,2.15,1.68
850,870,3.1,3.15,2.92
1110,1123,2.8,2.85,2.31
980,993,3.5,3.55,2.56
940,955,3.8,3.85,2.73
1120,1133,3.4,3.45,3.11
870,888,2.8,2.85,1.83
940,950,2.6,2.65,2.88
960,970,3,3.05,3.14
970,981,2.6,2.65,1.87
970,984,3.1,3.15,2.27
1060,1067,3.4,3.45,2.56
840,864,3.1,3.15,2.35
970,981,3.4,3.45,3.02
1100,1115,3.8,3.85,2.44
1080,1093,3.7,3.75,1.33
1080,1086,3.25,3.3,1.13
1060,1071,3.4,3.45,3.4
840,863,2.7,2.75,1.96
1020,1028,3.5,3.55,1.96
1060,1067,3.8,3.85,3.17
1030,1036,3.2,3.25,1.6
1020,1032,3,3.05,2.37
1050,1056,3.5,3.55,1.43
1100,1112,3.2,3.25,2.74
940,953,3.2,3.25,1.95
920,932,3.1,3.15,2.42
1000,1010,3.6,3.65,3.04
1100,1113,2.5,2.55,3
920,932,3.5,3.55,3.73
1030,1043,3.1,3.15,3.17
1190,1206,3,3.05,1.57
1120,1129,3.2,3.25,1.71
1080,1088,2.5,2.55,2.09
900,911,2.6,2.65,3.4
710,742,3.5,3.55,2.1
900,907,2.6,2.65,1.66
1030,1039,3.5,3.55,3.16
1110,1122,3.7,3.75,2.09
1060,1067,3.7,3.75,3.6
1020,1032,2.7,2.75,0.85
1160,1170,3.3,3.35,1.88
990,1001,3.5,3.55,2.53
1200,1209,3.7,3.75,1.82
930,945,2.7,2.75,1.33
980,994,2.56,2.61,2.81
870,888,1.8,1.85,1.49
1040,1053,3.5,3.55,2.51
1190,1197,3.1,3.15,1.61
800,823,2.7,2.75,1.65
700,732,2.8,2.85,1.7
1040,1054,3.6,3.65,3.13
1040,1050,3.5,3.55,2.6
750,783,3.25,3.3,1.87
760,793,3.2,3.25,2.24
910,926,2.8,2.85,1.6
1050,1058,3.7,3.75,2.98
980,994,3.9,3.95,3.6
970,983,3.1,3.15,1.43
1060,1074,3.7,3.75,3.02
1000,1014,3.1,3.15,3.15
860,880,3.3,3.35,2
790,826,2.6,2.65,1.57
720,761,2.8,2.85,1.78
1050,1060,3.6,3.65,2.77
980,989,3.8,3.85,3.25
1140,1156,3.5,3.55,3.3
790,828,4,4,1.13
1030,1043,3.9,3.95,3.17
960,973,3.4,3.45,2.04
950,958,3,3.05,1.69
1060,1066,2.5,2.55,1.8
1140,1154,3.5,3.55,2.29
1290,1301,4,4,3.41
740,773,3.5,3.55,2
1030,1042,4,4,3.11
960,972,2.7,2.75,2.38
1080,1089,3.3,3.35,2.62
1260,1276,3.8,3.85,3.71
940,950,3.8,3.85,3.27
1030,1038,2.5,2.55,2.4
1140,1156,2.5,2.55,3.25
1160,1169,3.3,3.35,1.98
1100,1112,3.5,3.55,3.04
1010,1019,4,4,2.8
1330,1336,4,4,4
1060,1069,2.5,2.55,1.78
1200,1209,3,3.05,2.54
850,871,2.8,2.85,1.92
1300,1306,4,4,3.48
1000,1010,2.74,2.79,1.62
1070,1077,3.5,3.55,2.56
1010,1017,3.3,3.35,3.35
1070,1084,2.7,2.75,2
850,874,3,3.05,1.97
1090,1097,3,3.05,3.21
840,856,2.6,2.65,0.67
980,991,3.5,3.55,2.38
920,932,2.3,2.35,1.86
930,937,2.3,2.35,2.53
1100,1114,4,4,1.44
1040,1054,3.5,3.55,2.19
770,806,2.8,2.85,1.44
930,944,3.4,3.45,2.36
920,936,3,3.05,2.21
970,983,3,3.05,2.6
1020,1028,3.25,3.3,0.36
1080,1085,3.3,3.35,2.47
900,910,3.5,3.55,2.16
920,936,2.7,2.75,1.63
1040,1049,2.8,2.85,1.83
1030,1038,2.1,2.15,2.66
970,986,3.3,3.35,3.04
920,927,2.4,2.45,2.54
960,972,2.6,2.65,2.02
1100,1107,2.2,2.25,1.49
1030,1043,3.8,3.85,1.13
830,845,3.1,3.15,2.02
1010,1016,3.7,3.75,2.9
950,959,2.75,2.8,1.81
1140,1155,3.6,3.65,4
780,820,2,2.05,2
850,873,2.75,2.8,2.54
970,984,4,4,2.65
1350,1360,4,4,3.43
920,933,3.7,3.75,2.91
1000,1014,4,4,3.21
890,908,2.5,2.55,1.75
720,753,2.3,2.35,3.12
1140,1154,3,3.05,2.09
1050,1058,3.5,3.55,2.11
1060,1068,3.3,3.35,2.56
970,986,3.2,3.25,2.56
930,946,3,3.05,1.24
1150,1157,3,3.05,2.8
900,907,2.6,2.65,2.17
930,939,3.4,3.45,2.42
900,907,3.6,3.65,3.56
1080,1092,3.3,3.35,3.24
1020,1026,3.6,3.65,3.42
1180,1187,3.8,3.85,2.53
940,952,2.8,2.85,2.38
950,961,2.4,2.45,2.24
880,902,2.7,2.75,2.12
1040,1051,2.8,2.85,2.63
1010,1018,2.5,2.55,1.98
1000,1014,3.2,3.25,1.69
1170,1180,4,4,2.47
1090,1095,4,4,2.34
900,913,2.67,2.72,2.58
940,952,3,3.05,2
970,983,2.7,2.75,1.63
1070,1076,3.5,3.55,3.37
910,925,2.8,2.85,1.64
1220,1229,3.8,3.85,2.88
1200,1208,4,4,3.12
1120,1128,4,4,2.33
1190,1204,3,3.05,2.45
940,947,2.5,2.55,2.22
1160,1172,3.5,3.55,2.17
920,928,2.3,2.35,2.44
970,980,3.1,3.15,2.98
980,988,2.7,2.75,2.29
960,975,3.5,3.55,2.56
650,719,2.5,2.55,1.8
1030,1043,3.1,3.15,2.43
1000,1005,3.5,3.55,2.61
930,938,3.1,3.15,3.09
1000,1005,2.6,2.65,2.53
1160,1172,2.7,2.75,2.48
1210,1226,3.5,3.55,3.94
1120,1136,3.4,3.45,2.86
1160,1175,2.9,2.95,2.31
840,860,2.6,2.65,2.18
1060,1065,3.25,3.3,3.07
850,873,2.1,2.15,1.64
1120,1128,3,3.05,2.7
860,880,3.5,3.55,2.08
1120,1135,4,4,3.51
1100,1110,4,4,3.63
830,854,3,3.05,1.63
1150,1160,4,4,3.76
1040,1053,2.8,2.85,2.96
880,902,3.25,3.3,2.83
750,785,3,3.05,1.36
1260,1273,3.8,3.85,2.91
1070,1080,3.2,3.25,2.65
930,938,3,3.05,2.56
1170,1177,3,3.05,1.89
1070,1078,2.8,2.85,2.04
1240,1253,3.25,3.3,2.67
1260,1274,3.75,3.8,3.29
970,983,2.6,2.65,1.74
850,873,2.8,2.85,2.98
990,1003,2.5,2.55,2.28
920,930,2.4,2.45,1.21
920,927,2.5,2.55,1.24
1090,1095,3.5,3.55,3.47
910,926,3.1,3.15,2.37
950,966,4,4,3.49
1030,1036,2.7,2.75,1.41
1010,1019,4,4,2.04
1180,1192,3.7,3.75,3.49
1150,1165,2.6,2.65,1.7
950,960,2.5,2.55,1.19
1010,1021,3.6,3.65,3.63
990,1000,3.9,3.95,2.98
1100,1116,3.4,3.45,2.35
1050,1056,3.6,3.65,2.38
1140,1148,3.8,3.85,2.38
1010,1024,3.2,3.25,2.4
890,909,2.5,2.55,1.92
990,999,3.7,3.75,2.86
1040,1052,3.25,3.3,2.9
1010,1020,3.7,3.75,3.44
1180,1191,2.9,2.95,1.88
870,893,2.8,2.85,2.52
1020,1030,4,4,1.17
1250,1262,2.9,2.95,3.16
1020,1031,3.25,3.3,1.64
900,907,2.75,2.8,2.17
720,758,2.67,2.72,1.62
1090,1102,3,3.05,2.37
900,909,3,3.05,3.19
1000,1007,3,3.05,2.29
1280,1290,4,4,3.41
1190,1198,4,4,3.24
1080,1094,3.3,3.35,2.64
1090,1096,3.5,3.55,3.35
970,986,2.75,2.8,1.87
1000,1008,2.7,2.75,1.5
960,974,4,4,2.98
1210,1218,3.1,3.15,2.95
1040,1051,2.8,2.85,2.2
1220,1228,3.8,3.85,3.11
910,923,4,4,3.12
990,1002,3.3,3.35,2.69
1030,1044,4,4,2.91
1140,1152,2.6,2.65,2.67
1080,1090,3.2,3.25,2.49
1110,1117,2.5,2.55,2.98
1220,1234,3.1,3.15,3.06
1130,1141,3.1,3.15,2.18
1200,1216,4,4,3.5
950,965,2.8,2.85,2.1
1040,1048,3.4,3.45,3.8
1100,1109,3.25,3.3,1.8
1040,1046,4,4,2.14
980,991,3.3,3.35,3.4
930,943,2.8,2.85,2.66
1050,1060,3.5,3.55,2.36
880,896,2.9,2.95,1.98
940,954,3,3.05,1.62
1090,1096,3.2,3.25,2.03
1070,1075,2.3,2.35,1.84
1170,1183,3,3.05,2.02
1210,1224,3.5,3.55,3.15
860,882,2.75,2.8,1.54
930,940,2.8,2.85,2.6
910,923,3.8,3.85,2.58
1120,1134,3.5,3.55,3.11
730,762,2.7,2.75,1.19
1070,1084,3.5,3.55,2.23
970,983,2.2,2.25,1.78
960,972,3,3.05,2.24
900,912,3.3,3.35,2.29
1040,1045,2.9,2.95,2.38
830,847,2.2,2.25,0.95
980,987,2.4,2.45,2.05
900,910,3.1,3.15,2.49
1080,1093,3.3,3.35,1.12
800,821,2.03,2.08,1.31
840,862,3.3,3.35,2.38
850,869,3,3.05,2.74
1120,1131,3,3.05,4
1030,1044,3.8,3.85,2.66
1140,1151,3.5,3.55,2.96
1050,1059,2.1,2.15,1.88
1020,1032,2.7,2.75,1.4
1080,1088,3.5,3.55,3.31
1000,1005,3.75,3.8,3.3
1280,1290,4,4,3.21
1010,1018,3.25,3.3,3.22
910,921,2.8,2.85,2.28
920,935,3.2,3.25,2.52
1040,1047,4,4,2.62
840,856,2,2.05,2
890,910,3.6,3.65,2.02
850,874,2.4,2.45,2.24
950,964,4,4,3.12
1040,1049,2.75,2.8,2.28
1080,1088,3,3.05,2.13
860,877,2.7,2.75,1.55
1180,1195,3.7,3.75,2.4
1060,1069,2.6,2.65,1.59
990,1005,3,3.05,2.94
1160,1173,3.2,3.25,2.29
1130,1138,3.5,3.55,2.98
880,904,3.1,3.15,3.66
970,985,2.9,2.95,0.38
1210,1222,3.7,3.75,2.65
1280,1289,3.7,3.75,1.95
1040,1052,3.2,3.25,3.06
1210,1222,3.7,3.75,3.87
